instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85e8, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85ec, CPSR = 0x600001d3 / modified register : ['cpsr'] / memory data : \x2\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85f0, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8600, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x64\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8604, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8608, CPSR = 0x800001d3 / modified register : ['cpsr'] / memory data : \x3\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x860c, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x861c, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x48\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8620, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8624, CPSR = 0x800001d3 / modified register : ['cpsr'] / memory data : \x4\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8628, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8638, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x2c\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x863c, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8640, CPSR = 0x800001d3 / modified register : ['cpsr'] / memory data : \x5\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8644, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
